
Name                                                                            Value
Microsoft.CPlat.Core.WindowsPatchExtension                                      1.5.75
Microsoft.Azure.ActiveDirectory.AADSSHLoginForLinux                             1.0.3162.1
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN10                                1.0.25.317
Microsoft.HpcCompute.Edp.NvidiaGpuDriverWindows                                 1.10.0.7
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxOL7                          1.0.0.9256
Microsoft.Azure.Extensions.Edp.WindowsHibernateTestExtension                    1.0.3
Microsoft.Azure.RecoveryServices.SiteRecovery.SiteRecoveryLinux                 0.0.0.1
Microsoft.Azure.Workloads.WorkloadsExtensionLinux                               1.0.26.1
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNodeArmalsantam-Test     1.0.0.1
Microsoft.Azure.AzureDefenderForSQL.AdvancedThreatProtection.Windows            2.0.3227.290
Microsoft.Azure.ServiceFabric.MC.SfmcSetupArm                                   1.2.0.1
Microsoft.CloudBackup.Workload.Extension.WorkloadBackup                         1.1.0.18
Microsoft.Azure.FleetDiagnostics.FleetDiagnosticsForWindows                     2.21.14019
Microsoft.Security.CRED.Defender.Credactor-Linux                                1.0.13
Confer.ConferForAzure                                                           1.0.5.40
Chef.Bootstrap.WindowsAzure.LinuxChefClient                                     1210.14.1.2
Microsoft.Azure.Performance.Diagnostics.AzurePerformanceDiagnostics             1.0.38
Microsoft.SoftwareUpdateManagement.WindowsOsUpdateExtension                     1.0.33.0
Microsoft.TestSqlServer.Edp.TestSqlIaaSAgent                                    2.0.0.18
Microsoft.Azure.SiteRecovery2.Test.LinuxUBUNTU2004                              1.5.25.333
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN8                                 1.0.25.317
Microsoft.CPlat.Core.OtherNullLinux                                             3.0.1
Microsoft.TestSqlServer.Edp.TestSqlIaaSAgentLinux                               1.0.16
Microsoft.Azure.Security.Monitoring.AzureSecurityLinuxAgentTest                 2.29.809
Microsoft.Azure.FleetDiagnostics.FleetDiagnosticsForLinux                       2.19.62023
Microsoft.HpcCompute.AmdAmaDriverLinux                                          1.1.0.2
Microsoft.Azure.Security.Edp.AzureDiskEncryptionTest1                           2.4.0.30
Microsoft.VisualStudio.Azure.RemoteDebug.VS2012Debugger                         1.0.0.2
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricLinuxNode-updatefix      0.0.0.5
Microsoft.Azure.Extensions.FixEmulatedIO                                        1.0.0
Microsoft.Azure.Security.AzureDiskEncryptionForLinux                            1.4.0.11
Microsoft.OSTCExtensions.Testing.EvNullWindows                                  1.0.0
Symantec.CloudWorkloadProtection.Test.SCWPAgentForWindowsTest                   5.4.0.0
Microsoft.Azure.Extensions.DockerExtension                                      1.2.2
Microsoft.Azure.Diagnostics.Edp.IaaSDiagnostics                                 1.18.0.3
SentinelOne.WindowsExtension.Test.WindowsExtension                              1.4.16
Microsoft.Azure.AzureDefenderForSQL.VulnerabilityAssessment.Windows             2.0.2354.98
Microsoft.Azure.LabServices.Agent.Linux                                         1.0.1.56
Microsoft.OSTCExtensions.AzureEnhancedMonitorForLinux                           3.0.1.0
Microsoft.Azure.HardwareHealthService.AzureHardwareHealthExtensionForLinux      1.0.2.8
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxUBUNTU1404                   1.0.0.9256
Qualys.LinuxAgent.GrayLabel.QualysAgentGL                                       1.0.0.2
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES15                                  1.0.25.317
CrowdStrike.Falcon.FalconSensorLinux                                            1.1.0
Microsoft.AzureCAT.AzureEnhancedMonitoring.MonitorX64Linux                      1.93.0.0
Microsoft.CPlat.Core.NullLinux                                                  4.0.1
